"Va,B","Iк, дел"
5.65,10
8.63,20
11.4,30
14.46,40
17.88,50
20.11,55
20.87,55
22.21,54
22.94,52
23.45,48
23.58,44
23.69,31
23.93,28
24.24,26
26.37,28
27.43,34
29.66,45
32.05,55
34.33,65
35.9,70
36.87,71
39.53,70
42.13,65
45.39,60
49.39,61
51.27,63
55.18,70
66.11,80
77.68,85
