"Va,B","Iк, дел"
3.47,10
7,20
9.75,30
12.83,40
16.21,50
18.08,55
19.09,57
20.16,58
22.2,56
22.36,55
22.71,52
22.87,49
23,45
23.29,40
25.58,45
27.9,55
30.24,65
32.82,75
37.89,85
39.11,84
39.98,82
41.13,80
42.75,78
47.85,80
53.54,90
