"⟨Vфотоэл⟩, В","V ∝ I, В"
6.898,0.445
5.26,0.397
4.625,0.366
3.936,0.321
3.37,0.266
2.921,0.222
2.509,0.175
1.742,0.111
1.165,0.067
0.541,0.03
0.471,0.027
0.441,0.027
0.38,0.028
0.165,0.019
