"l, sm",particles,"err_l, sm",err_p
0.47,43784,0.005,209.2462663944
0.97,24410,0.005,156.2369994592
1.43,14725,0.005,121.3466109951
1.86,8801,0.005,93.813645063
2.32,5421,0.005,73.6274405368
