"l, sm",particles,"syserr_l, sm",err_p
5.79,74431,0.005,272.8204537787
11.58,69529,0.005,263.6835224279
15.44,67752,0.005,260.2921435618
19.3,65406,0.005,255.7459677101
21.23,64146,0.005,253.2706062693
