"V-, mm/s","I-, 1/s","V+, mm/s","I+, 1/s"
0,10506.6,0,10506.6
4.85,5091.1,4.89,5065.5
4.58,5148.6,4.6,5135.6
4.23,5201.9,4.26,5159.2
3.93,5211.4,3.97,5134.2
3.57,5201.4,3.58,5089.1
3.4,5222.9,3.41,5056.2
3.08,5194.4,3.09,4986.2
2.67,5181.9,2.72,4769.4
2.28,5177.2,2.3,4640.2
1.94,5203.6,1.95,4862.4
1.68,5189,1.68,5010.6
1.66,5201.5,1.67,5055
